2024-01-01,星期一,"提摩太后书 3章16-17节"
2024-01-02,星期二,"约翰福音 20章31节"
2024-01-03,星期三,"约翰福音 5章39节"
2024-01-04,星期四,"彼得后书 1章21节"
2024-01-05,星期五,"路加福音 24章44-45节"
2024-01-06,星期六,"彼得前书 1章24-25节"
2024-01-07,星期日,"马太福音 4章4节"
2024-01-08,星期一,"诗篇 119章105节"
2024-01-09,星期二,"诗篇 32章8节"
2024-01-10,星期三,"以赛亚书 30章20-21节"
2024-01-11,星期四,"启示录 1章3节"
2024-01-12,星期五,"出埃及记 3章14节"
2024-01-13,星期六,"诗篇 90章2节"
2024-01-14,星期日,"诗篇 139章1-3节"
2024-01-15,星期一,"历代志上 28章9节"
2024-01-16,星期二,"希伯来书 4章13节"
2024-01-17,星期三,"耶利米书 23章24节"
2024-01-18,星期四,"诗篇 139章7-10节"
2024-01-19,星期五,"诗篇 139章11-12节"
2024-01-20,星期六,"雅各书 1章17节"
2024-01-21,星期日,"玛拉基书 3章6节"
2024-01-22,星期一,"约翰一书 1章5节"
2024-01-23,星期二,"申命记 32章4节"
2024-01-24,星期三,"希伯来书 10章23节"
2024-01-25,星期四,"约翰福音 3章16节"
2024-01-26,星期五,"出埃及记 20章4-5节"
2024-01-27,星期六,"约翰福音 4章24节"
2024-01-28,星期日,"创世纪 1章1节"
2024-01-29,星期一,"约伯记 38章4节"
2024-01-30,星期二,"约伯记 42章1-2节"
2024-01-31,星期三,"约伯记 42章5节"
2024-02-01,星期四,"使徒行传 17章24-25节"
2024-02-02,星期五,"申命记 6章4节"
2024-02-03,星期六,"歌林多前书 8章6节"
2024-02-04,星期日,"创世纪 1章26节"
2024-02-05,星期一,"马太福音 28章19节"
2024-02-06,星期二,"歌林多后书 13章14节"
2024-02-07,星期三,"路加福音 3章22节"
2024-02-08,星期四,"以赛亚书 6章3节"
2024-02-09,星期五,"马太福音 10章28节"
2024-02-10,星期六,"马太福音 26章41节"
2024-02-11,星期日,"罗马书 8章10节"
2024-02-12,星期一,"歌林多前书 5章5节"
2024-02-13,星期二,"歌林多后书 7章1节"
2024-02-14,星期三,"路加福音 1章46-47节"
2024-02-15,星期四,"创世纪 1章27节"
2024-02-16,星期五,"创世纪 1章28节"
2024-02-17,星期六,"罗马书 11章36节"
2024-02-18,星期日,"以弗所书 1章12节"
2024-02-19,星期一,"罗马书 5章12节"
2024-02-20,星期二,"罗马书 5章14节"
2024-02-21,星期三,"罗马书 5章15节"
2024-02-22,星期四,"罗马书 5章18节"
2024-02-23,星期五,"罗马书 5章19节"
2024-02-24,星期六,"罗马书 5章20节"
2024-02-25,星期日,"罗马书 5章21节"
2024-02-26,星期一,"诗篇 51章5节"
2024-02-27,星期二,"罗马书 1章28节"
2024-02-28,星期三,"罗马书 3章10节"
2024-02-29,星期四,"罗马书 3章23节"
2024-03-01,星期五,"创世纪 3章24节"
2024-03-02,星期六,"罗马书 6章23节"
2024-03-03,星期日,"以弗所书 2章1节"
2024-03-04,星期一,"以弗所书 2章2节"
2024-03-05,星期二,"以弗所书 2章3节"
2024-03-06,星期三,"以弗所书 4章18-19节"
2024-03-07,星期四,"希伯来书 9章27节"
2024-03-08,星期五,"使徒行传 17章31节"
2024-03-09,星期六,"约翰福音 5章24节"
2024-03-10,星期日,"马可福音 14章62节"
2024-03-11,星期一,"哥林多后书 5章10节"
2024-03-12,星期二,"罗马书 2章3节"
2024-03-13,星期三,"马太福音 16章16节"
2024-03-14,星期四,"加拉太书 4章4节"
2024-03-15,星期五,"马太福音 2章1-2节"
2024-03-16,星期六,"马太福音 1章21节"
2024-03-17,星期日,"约翰福音 1章14节"
2024-03-18,星期一,"路加福音 2章40节"
2024-03-19,星期二,"路加福音 2章52节"
2024-03-20,星期三,"哥林多后书 5章21节"
2024-03-21,星期四,"希伯来书 4章15节"
2024-03-22,星期五,"约翰一书 3章5节"
2024-03-23,星期六,"约翰福音 20章28节"
